NomFrançais,NomAnglais,CAS,Classification,PourcentageDeDivulgation,Commentaire
"Distillat de pétrole (naphta, fraction lourde hydrotraitée)",Hydrotreated heavy naphtha (petroleum),64742-48-9,Class B3 - Combustible liquids,"1,0%",
Disulfate de titane,Titanium disulfate,13693-11-3,Classification not available,"1,0%",
Disulfate d'hydroxylamine,Hydroxylamine disulfate,10039-54-0,Class E - Corrosive materials,"1,0%",
Disulfiram,Disulfiram,97-77-8,Class D2B - Toxic material causing other toxic effects,"1,0%",
Disulfure d'allyle,Allyl disulfide,2179-57-9,Class B3 - Combustible liquids,"1,0%",
Disulfure d'allyle,Allyl disulfide,2179-57-9,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Disulfure d'allyle,Allyl disulfide,2179-57-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Disulfure d'allyle et de propyle,Allyl propyl disulfide,2179-59-1,Class B3 - Combustible liquids,"1,0%",
Disulfure d'allyle et de propyle,Allyl propyl disulfide,2179-59-1,Class D2B - Toxic material causing other toxic effects,"1,0%",
Disulfure de carbone,Carbon disulfide,75-15-0,Class B2 - Flammable liquids,"0,1%",
Disulfure de carbone,Carbon disulfide,75-15-0,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Disulfure de carbone,Carbon disulfide,75-15-0,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Disulfure de carbone,Carbon disulfide,75-15-0,Class D2B - Toxic material causing other toxic effects,"0,1%",
Disulfure de cobalt,Cobalt disulfide,12013-10-4,Classification not available,"1,0%",
Disulfure de dibenzyle,Dibenzyl disulfide,150-60-7,Classification not available,"1,0%",
Disulfure de dibutylétain,Dibutyltin sulfide,4253-22-9,Classification not available,"1,0%",
Disulfure de diméthyle,Dimethyl disulfide,624-92-0,Class B2 - Flammable liquids,"1,0%",
Disulfure de diméthyle,Dimethyl disulfide,624-92-0,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Disulfure de diméthyle,Dimethyl disulfide,624-92-0,Class D2B - Toxic material causing other toxic effects,"1,0%",
Disulfure de fer,Iron disulfide,12068-85-8,Not controlled product,Non requise,
Disulfure de manganèse,Manganese disulfide,12125-23-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Disulfuryl chloride,Disulfuryl chloride,7791-27-7,Classification not available,"1,0%",
Dithiocarbamate d'ammonium,Ammonium dithiocarbamate,513-74-6,Not controlled product,Non requise,
Diuron,Diuron,330-54-1,Not controlled product,Non requise,
m-Divinylbenzène,m-Divinylbenzene,108-57-6,Classification not available,"1,0%",
Dodécane normal,Dihexyl,112-40-3,Class B3 - Combustible liquids,"1,0%",
Dodécylbenzènesulfonate de sodium,Sodium dodecylbenzene sulfonate,25155-30-0,Class D2B - Toxic material causing other toxic effects,"1,0%",
Dodécylbenzènsulfonate de calcium,Calcium dodecylbenzenesulfonate,26264-06-2,Class D2B - Toxic material causing other toxic effects,"1,0%",
"alpha-(Dodécylphényl)-omega-hydroxy-poly(oxy-1,2-éthanediyle)","alpha-(Dodecylphenyl)-omega-hydroxy-poly(oxy-1,2-ethanediyl)",9014-92-0,Classification not available,"1,0%",
Driselase,Driselase,139691-67-1,Not controlled product,Non requise,
Eau,Water,7732-18-5,Not controlled product,Non requise,
EDTA dipotassique dihydraté,"Ethylenediaminetetraacetic acid dipotassium salt, dihydrate",25102-12-9,Not controlled product,Non requise,
EDTA disodique,Disodium EDTA,139-33-3,Not controlled product,Non requise,
"EDTA disodique 3,5%","EDTA disodium salt 3,5%",,Not controlled product,Non requise,
EDTA disodique dihydraté,Ethylenediaminetetraacetic acid sodium salt dihydrate,6381-92-6,Not controlled product,Non requise,
EDTA disodique et calcique,Ethylenediaminetetraacetic acid calcium disodium salt,62-33-9,Not controlled product,"0,1%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 0,1  % dans un produit contrôlé."
EDTA ferrique,Ferric EDTA,17099-81-9,Classification not available,"1,0%",
EDTA ferrique et monosodique,Monosodium ferric EDTA,15708-41-5,Not controlled product,Non requise,
EDTA magnésique et disodique,Disodium magnesium EDTA,14402-88-1,Not controlled product,Non requise,
EDTA tétrasodique,Tetrasodium ethylene diamine tetraacetate,64-02-8,Class D2B - Toxic material causing other toxic effects,"1,0%",
EDTA tétrasodique 39%,Tetrasodium ethylene diamine tetraacetate 39%,,Class D2B - Toxic material causing other toxic effects,Non requise,
EDTA tétrasodique 50%,Tetrasodium ethylene diamine tetraacetate 50%,,Class D2B - Toxic material causing other toxic effects,Non requise,
EDTA tétrasodique dihydraté,Tetrasodium ethylene diamine tetraacetate dihydrate,10378-23-1,Class D2B - Toxic material causing other toxic effects,Non requise,
EDTA trisodique,Ethylenediaminetetraacetic acid trisodium salt,150-38-9,Not controlled product,Non requise,
Eicosane,Didecyl,112-95-8,Not controlled product,Non requise,
Émeri (contenant moins de 1% quartz),Emery (containing less than 1% quartz),12415-34-8,Class D2A - Very toxic material causing other toxic effects,Non requise,
Éosine,Eosin,15086-94-9,Not controlled product,Non requise,
Eosine 1%,Eosin 1%,,Not controlled product,Non requise,
Eosine Y,Eosin Y,17372-87-1,Not controlled product,Non requise,
Épibromhydrine,Epibromohydrin,3132-64-7,Classification not available,"1,0%",
Épichlorhydrine,Epichlorhydrin,106-89-8,Class B3 - Combustible liquids,"0,1%",
Épichlorhydrine,Epichlorhydrin,106-89-8,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Épichlorhydrine,Epichlorhydrin,106-89-8,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Épichlorhydrine,Epichlorhydrin,106-89-8,Class E - Corrosive materials,"0,1%",
"Époxy-2,3 propanol-1",Glycidol,556-52-5,Class B3 - Combustible liquids,"0,1%",
"Époxy-2,3 propanol-1",Glycidol,556-52-5,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
"Époxy-2,3 propanol-1",Glycidol,556-52-5,Class D2A - Very toxic material causing other toxic effects,"0,1%",
"Époxy-2,3 propanol-1",Glycidol,556-52-5,Class D2B - Toxic material causing other toxic effects,"0,1%",
Époxysulfate de lauryle et d'ammonium,Ammonium laureth sulfate,32612-48-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Essence,Gasoline,8006-61-9,Class B2 - Flammable liquids,"0,1%",
Essence,Gasoline,8006-61-9,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Essence de pin,Pine oil,8002-09-3,Class B3 - Combustible liquids,"1,0%",
Essence de pin,Pine oil,8002-09-3,Class D2B - Toxic material causing other toxic effects,"1,0%",
Ester de diéthylène glycol et de colophane,Diethylene glycol ester of colophane,68153-38-8,Not controlled product,Non requise,
Ester éthylique de l'acide cyanoacétique,Ethyl cyanoacetate,105-56-6,Classification not available,"1,0%",
Ester méthylique de l'acide méthacrylique polymérisé avec le styrène et l'acrylate de butyle,Methyl methacrylate-butyl acrylate-styrene copolymer,27136-15-8,Not controlled product,Non requise,
Ester polyméthylènepolyphénylénique de l'acide isocyanique,Isocyanuric acid polymethylene polyphenyl isocyanate,9016-87-9,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Ester polyméthylènepolyphénylénique de l'acide isocyanique,Isocyanuric acid polymethylene polyphenyl isocyanate,9016-87-9,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Ester polyméthylènepolyphénylénique de l'acide isocyanique,Isocyanuric acid polymethylene polyphenyl isocyanate,9016-87-9,Class D2B - Toxic material causing other toxic effects,"0,1%",
Esters méthyliques de l'huile de lard,Lard oil methyl esters,68082-78-0,Not controlled product,Non requise,
Étain,Tin,7440-31-5,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Éthane,Ethyl hydride,74-84-0,Class A - Compressed gases,"1,0%",
Éthane,Ethyl hydride,74-84-0,Class B1 - Flammable gases,"1,0%",
Éther allyléthylique,Allyl ethyl ether,557-31-3,Classification not available,"1,0%",
Éther bis (chloro-2 éthylique),bis(2-chloroethyl) ether,111-44-4,Class B3 - Combustible liquids,"1,0%",
Éther bis (chloro-2 éthylique),bis(2-chloroethyl) ether,111-44-4,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Éther bis (chloro-2 éthylique),bis(2-chloroethyl) ether,111-44-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther bis(chloro-2 méthyl-1 éthane),Dichloroisopropyl ether,108-60-1,Classification not available,"1,0%",
Éther chlorométhyl éthylique,Chloromethyl ethyl ether,3188-13-4,Classification not available,"1,0%",
Éther d'allyle,Allyl ether,557-40-4,Class B2 - Flammable liquids,"1,0%",
Éther d'allyle,Allyl ether,557-40-4,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Éther d'allyle,Allyl ether,557-40-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther d'allyle et de glycidyle,Allyl glycidyl ether,106-92-3,Class B3 - Combustible liquids,"0,1%",
Éther d'allyle et de glycidyle,Allyl glycidyl ether,106-92-3,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Éther d'allyle et de glycidyle,Allyl glycidyl ether,106-92-3,Class D2B - Toxic material causing other toxic effects,"0,1%",
Éther de benzyle,Benzyl ether,103-50-4,Classification not available,"1,0%",
Éther de bêta-naphtol et d'éthyle,beta-Naphthol ethyl ether,93-18-5,Classification not available,"1,0%",
Éther de bis(chlorométhyle),bis(Chloromethyl) ether,542-88-1,Class B2 - Flammable liquids,"0,1%",
Éther de bis(chlorométhyle),bis(Chloromethyl) ether,542-88-1,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Éther de bis(chlorométhyle),bis(Chloromethyl) ether,542-88-1,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éther de bisphénol A et de diglycidyle,Bisphenol A diglycidyl ether,1675-54-3,Classification not available,"1,0%",
"Éther de butanediol-1,4 diglycidique","1,4-Butanediol diglycidyl ether",2425-79-8,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther de butyle normal et de glycidyle,Butyl glycidyl ether,2426-08-6,Class B3 - Combustible liquids,"0,1%",
Éther de butyle normal et de glycidyle,Butyl glycidyl ether,2426-08-6,Class D2B - Toxic material causing other toxic effects,"0,1%",
Éther de cédrol et de méthyle,Cedrol methyl ether,67874-81-1,Classification not available,"1,0%",
Éther de chlorométhyle et de méthyle,Methylchloromethyl ether,107-30-2,Class B2 - Flammable liquids,"0,1%",
Éther de chlorométhyle et de méthyle,Methylchloromethyl ether,107-30-2,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Éther de chlorométhyle et de méthyle,Methylchloromethyl ether,107-30-2,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éther de chlorométhyle et de méthyle,Methylchloromethyl ether,107-30-2,Class E - Corrosive materials,"0,1%",
Éther de diéthylène glycol monobutylique,Diethylene glycol monobutyl ether,112-34-5,Class B3 - Combustible liquids,"1,0%",
Éther de diéthylène glycol monobutylique,Diethylene glycol monobutyl ether,112-34-5,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther de diéthylène glycol monoéthylique,Diethylene glycol monoethyl ether,111-90-0,Class B3 - Combustible liquids,"1,0%",
Éther de diéthylène glycol monoéthylique,Diethylene glycol monoethyl ether,111-90-0,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther de diéthylèneglycol et de diéthyle,Diethylene glycol diethyl ether,112-36-7,Classification not available,"1,0%",
Éther de diéthylèneglycol et de monohexyle,Diethylene glycol monohexyl ether,112-59-4,Classification not available,"1,0%",
Éther de diéthylèneglycol et de monométhyle,Diethylene glycol monomethyl ether,111-77-3,Classification not available,"1,0%",
Éther de diéthylèneglycol et de monophényle,Diethylene glycol monophenyl ether,104-68-7,Classification not available,"1,0%",
Éther de diglycidyle et de résorcinol,Diglycidyle resorcinol ether,101-90-6,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éther de glycidyle et d'ortho-crésol,o-Cresyl glycidyl ether,2210-79-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
"Éther de hexachloro-2,2',3,3',4,4' diphényle","1,1'-Oxybis (2,3,4-trichlorobenzene)",71585-39-2,Not controlled product,Non requise,
Éther de lauryl poly(oxyéthylène),Poly(oxyethylene) lauryl ether,9002-92-0,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Éther de poly(oxyéthylène) nonylphénol,Nonylphenol ethoxylate,9016-45-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther de polyéthylèneglycol et de monooléyle,Polyethylene glycol monooleyl ether,9004-98-2,Classification not available,"1,0%",
Éther de polyéthylèneglycol et d'octylphénol,Polyethylene glycol octylphenol ether,9002-93-1,Classification not available,"1,0%",
Éther de polyéthylèneglycol et d'octylphényle,Polyethylene glycol octylphenyl ether,9036-19-5,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther de vinyle et de 2-chloroéthyle,Vinyl 2-chloroethyl ether,110-75-8,Classification not available,"1,0%",
Éther d'éthylèneglycol et de monobenzyle,Ethylene glycol monobenzyl ether,622-08-2,Classification not available,"1,0%",
Éther d'éthylèneglycol et de monobutyle,Ethylene glycol monobutyl ether,111-76-2,Class B3 - Combustible liquids,"1,0%",
Éther d'éthylèneglycol et de monobutyle,Ethylene glycol monobutyl ether,111-76-2,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Éther d'éthylèneglycol et de monobutyle,Ethylene glycol monobutyl ether,111-76-2,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther di(2-chloroisopropylique),bis(2-Chloroisopropyl)ether,39638-32-9,Classification not available,"1,0%",
Éther dibutylique du diéthylène glycol,Diethylene glycol dibutyl ether,112-73-2,Not controlled product,Non requise,
Éther diéthylique,Diethyl ethyl,60-29-7,Class B2 - Flammable liquids,"1,0%",
Éther diglycidique,Diglycidyl ether,2238-07-5,Class B3 - Combustible liquids,"0,1%",
Éther diglycidique,Diglycidyl ether,2238-07-5,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Éther diglycidique,Diglycidyl ether,2238-07-5,Class D2B - Toxic material causing other toxic effects,"0,1%",
"Éther diglycidique de l'hexanediol-1,6","1,6-Hexanediol diglycidyl ether",16096-31-4,Not controlled product,Non requise,
Éther diisopropylique,Diisopropyl ether,108-20-3,Class B2 - Flammable liquids,"1,0%",
Éther diméthylique de l'hydroquinone,"Hydroquinone, dimethyl ether",150-78-7,Classification not available,"1,0%",
Éther diphénylique,Diphenyl ether,101-84-8,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Éther d'isopropyle et de glycidyle,Isopropyl glycidyl ether,4016-14-2,Class B2 - Flammable liquids,"1,0%",
Éther d'isopropyle et de glycidyle,Isopropyl glycidyl ether,4016-14-2,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Éther d'isopropyle et de glycidyle,Isopropyl glycidyl ether,4016-14-2,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther hexachlorodiphénylique,Hexachloro diphenyl ether,55720-99-5,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Éther monobutylique de propylène glycol,Propylene glycol monobutyl ether,5131-66-8,Class B3 - Combustible liquids,"1,0%",
Éther monobutylique de propylène glycol,Propylene glycol monobutyl ether,5131-66-8,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther monoéthylique de l'éthylène glycol,Ethylene glycol monoethyl ether,110-80-5,Class B3 - Combustible liquids,"0,1%",
Éther monoéthylique de l'éthylène glycol,Ethylene glycol monoethyl ether,110-80-5,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Éther monoéthylique de l'éthylène glycol,Ethylene glycol monoethyl ether,110-80-5,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éther monoéthylique de l'éthylène glycol,Ethylene glycol monoethyl ether,110-80-5,Class D2B - Toxic material causing other toxic effects,"0,1%",
Éther monoéthylique du dipropylène glycol,Dipropylene glycol monoethyl ether,15764-24-6,Class B3 - Combustible liquids,"1,0%",
Éther monométhylique de l'éthylène glycol,Ethylene glycol monomethyl ether,109-86-4,Class B3 - Combustible liquids,"0,1%",
Éther monométhylique de l'éthylène glycol,Ethylene glycol monomethyl ether,109-86-4,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Éther monométhylique de l'éthylène glycol,Ethylene glycol monomethyl ether,109-86-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éther monométhylique d'hydroquinone,Hydroquinone monomethyl ether,150-76-5,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther monométhylique du dipropylène glycol,Dipropylene glycol monomethyl ether,34590-94-8,Class B3 - Combustible liquids,"1,0%",
Éther monométhylique du propylène glycol,Propylene glycol monomethyl ether,107-98-2,Class B2 - Flammable liquids,"1,0%",
Éther monopropylique de l'éthylène glycol,2-Propoxyethanol,2807-30-9,Class B3 - Combustible liquids,"1,0%",
Éther monopropylique de l'éthylène glycol,2-Propoxyethanol,2807-30-9,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Éther monopropylique de l'éthylène glycol,2-Propoxyethanol,2807-30-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éther n-hexylique,n-Hexyl ether,112-58-3,Classification not available,"1,0%",
ETHER PENTABROMODIPHENYLIQUE,PENTABROMODIPHENYL ETHER,32534-81-9,Not controlled product,Non requise,
Éther phénylique glycidique,Phenyl glycidyl ether,122-60-1,Class D2A - Very toxic material causing other toxic effects,"0,1%",
ETHER TETRABROMODIPHENYLIQUE,TETRABROMODIPHENYL ETHER,40088-47-9,Not controlled product,Non requise,
ETHER TRIBROMODIPHENYLIQUE,TRIBROMODIPHENYL ETHER,49690-94-0,Not controlled product,Non requise,
Ethérate de trifluorure de bore,Boron trifluoride diethyletherate,109-63-7,Classification not available,"1,0%",
Éthersulfate sodique de lauryle,Sodium lauryl ether sulfate,9004-82-4,Classification not available,"1,0%",
Éthoxy-3 propionate d'éthyle,Ethyl 3-ethoxypropionate,763-69-9,Class B3 - Combustible liquids,"1,0%",
Éthoxy-3 propionate d'éthyle,Ethyl 3-ethoxypropionate,763-69-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
"2-Éthoxy-3,4-dihydro-2H-pyrane","2-Ethoxy-3,4-dihydro-2H-pyran",103-75-3,Classification not available,"1,0%",
Éthoxylate d'alkylphénol ramifié,Branched-nonylphenol ethoxylate,68412-54-4,Not controlled product,Non requise,
Éthoxylate d'aluminium,Aluminum triethoxyde,555-75-9,Not controlled product,Non requise,
Éthoxyquin,Ethoxyquin,91-53-2,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éthyl butyl cétone,3-Heptanone,106-35-4,Class B2 - Flammable liquids,"1,0%",
Éthyl cellulose,Ethyl cellulose,9004-57-3,Not controlled product,Non requise,
Éthyl n-amyl cétone,3-Octanone,106-68-3,Class B3 - Combustible liquids,"1,0%",
Éthyl sec-amyl cétone,Ethyl sec-amyl ketone,541-85-5,Class B3 - Combustible liquids,"1,0%",
"2-Éthyl-1,3-hexanediol","2-Ethyl-1,3-hexanediol",94-96-2,Classification not available,"1,0%",
Éthyl-2 hexanol,2-Ethylhexanol,104-76-7,Class B3 - Combustible liquids,"1,0%",
Éthyl-2 hexanol,2-Ethylhexanol,104-76-7,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éthyl-2 toluène,2-Ethyl toluene,611-14-3,Class B3 - Combustible liquids,"1,0%",
Éthyl-3 toluène,3-Ethyl toluene,620-14-4,Class B2 - Flammable liquids,"1,0%",
Éthyl-5 méthyl-2 pyridine,2-Methyl-5-ethylpyridine,104-90-5,Classification not available,"1,0%",
Éthylamine,Ethylamine,75-04-7,Class A - Compressed gases,"1,0%",
Éthylamine,Ethylamine,75-04-7,Class B1 - Flammable gases,"1,0%",
Éthylamine,Ethylamine,75-04-7,Class E - Corrosive materials,"1,0%",
Éthylamine 70%,Ethylamine 70%,,Class B2 - Flammable liquids,Non requise,
Éthylamine 70%,Ethylamine 70%,,Class D1B - Toxic material causing immediate and serious toxic effects,Non requise,
Éthylamine 70%,Ethylamine 70%,,Class E - Corrosive materials,Non requise,
"Éthylamine, chlorhydrate d'",Ethylamine hydrochloride,557-66-4,Not controlled product,Non requise,
2-Éthylaminoéthanol,2-Ethylaminoethanol,110-73-6,Classification not available,"1,0%",
N-Éthylaniline,N-Ethylaniline,103-69-5,Classification not available,"1,0%",
2-Éthylaniline,2-Ethylaniline,578-54-1,Classification not available,"1,0%",
Éthylate de sodium,Sodium ethylate,141-52-6,Class E - Corrosive materials,"1,0%",
Éthylbenzène,Ethylbenzene,100-41-4,Class B2 - Flammable liquids,"0,1%",
Éthylbenzène,Ethylbenzene,100-41-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éthylbenzène,Ethylbenzene,100-41-4,Class D2B - Toxic material causing other toxic effects,"0,1%",
Éthylène,Ethylene,74-85-1,Class A - Compressed gases,"1,0%",
Éthylène,Ethylene,74-85-1,Class B1 - Flammable gases,"1,0%",
Éthylène,Ethylene,74-85-1,Class D2B - Toxic material causing other toxic effects,"1,0%",
"N,N'-Éthylène bis(3-fluorosalicylidèneiminato)-cobalt(II)","Cobalt(II),N,N'-ethylenebis(3-fluorosalicylideneiminato)-",62207-76-5,Classification not available,"1,0%",
Éthylène glycol,Ethylene glycol,107-21-1,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Éthylène glycol,Ethylene glycol,107-21-1,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éthylène imine,Aziridine,151-56-4,Class B2 - Flammable liquids,"0,1%",
Éthylène imine,Aziridine,151-56-4,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Éthylène imine,Aziridine,151-56-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Éthylène imine,Aziridine,151-56-4,Class E - Corrosive materials,"0,1%",
"N,N'-Éthylènebis(stéaramide)","N,N'-Ethylenebis(stearamide)",110-30-5,Not controlled product,Non requise,
Éthylènethiourée,Ethylene thiourea,96-45-7,Classification not available,"0,1%",
Éthylhexaldéhyde,2-Ethylhexaldehyde,123-05-7,Classification not available,"1,0%",
Di(2-éthylhexanoate) de di-n-butylétain,Di-n-butyltin di-2-ethylhexanoate,2781-10-4,Classification not available,"1,0%",
Di(2-éthylhexyl)amine,Di(2-ethylhexyl)amine,106-20-7,Classification not available,"1,0%",
2-(2-Éthylhexyloxy)éthanol,2-(2-Ethylhexyloxy)ethanol,1559-35-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
bis((2-Éthylhexyloxy)maléyloxy) dibutylstannane,Bis((2-ethylhexyloxy)maleoloxy)dibutylstannane,15546-12-0,Classification not available,"1,0%",
bis (2-Éthylhexyloxycarbonylméthylthio)dibutylstannane,Bis(2-ethylhexyloxycarbonylmethyl-thio)dibutylstannane,25168-24-5,Classification not available,"1,0%",
Éthylidène norbornène,Ethylidene norbornene,16219-75-3,Class B2 - Flammable liquids,"1,0%",
Éthylidène norbornène,Ethylidene norbornene,16219-75-3,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Éthylidène norbornène,Ethylidene norbornene,16219-75-3,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éthylisobutyrate,Ethyl isobutyrate,97-62-1,Classification not available,"1,0%",
N-Éthylmaléimide,N-Ethylmaleimide,128-53-0,Class D2B - Toxic material causing other toxic effects,"1,0%",
Éthylmercaptan,Ethylmercaptan,75-08-1,Class B2 - Flammable liquids,"1,0%",
Éthylmercurithiosalicylate de sodium,Ethylmercurithiosalicylic acid sodium salt,54-64-8,Classification not available,"0,1%",
Éthylmorpholine,n-Ethylmorpholine,100-74-3,Class B2 - Flammable liquids,"1,0%",
Éthylmorpholine,n-Ethylmorpholine,100-74-3,Class D2B - Toxic material causing other toxic effects,"1,0%",
N-Éthyl-m-toluidine,N-Ethyl-m-toluidine,102-27-2,Classification not available,"1,0%",
N-Éthyl-N-phénylbenzylamine,N-Ethyl-N-benzylaniline,92-59-1,Classification not available,"1,0%",
N-Éthyl-N-phényldithiocarbamate de zinc,Zinc ethylphenyldithiocarbamate,14634-93-6,Classification not available,"1,0%",
N-Éthyl-o-toluidine,N-Ethyl-o-toluidine,94-68-8,Classification not available,"1,0%",
Éthylphényldichlorosilane,Ethyl phenyl dichlorosilane,1125-27-5,Classification not available,"1,0%",
N-Éthyl-p-toluidine,N-Ethyl-p-toluidine,622-57-1,Classification not available,"1,0%",
2-(Éthylthio)éthanol,2-(Ethylthio)ethanol,110-77-0,Classification not available,"1,0%",
Éthylvanilline,Ethyl vanillin,121-32-4,Not controlled product,Non requise,
Extraits de pétrole (fraction intermédiaire du distillat),Middle distillate solvent extract (petroleum),64742-06-9,Class B3 - Combustible liquids,"1,0%",
Fer,Iron,7439-89-6,Not controlled product,Non requise,
Ferbam,Ferbam,14484-64-1,Not controlled product,Non requise,
Ferricyanure de potassium,Potassium ferricyanide,13746-66-2,Not controlled product,Non requise,
Ferricyanure de sodium,Sodium ferricyanide,14217-21-1,Not controlled product,Non requise,
Ferrocyanure de potassium,Potassium ferrocyanide,13943-58-3,Not controlled product,Non requise,
Ferrocyanure de tétrapotassium trihydraté,Potassium ferrocyanide trihydrate,14459-95-1,Not controlled product,Non requise,
Ferromanganèse,Ferromanganese,12604-53-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Ferrosilicium contenant 30% ou plus mais moins de 90% de silicium,"Ferrosilicon, with 30% or more but less than 90% silicon",8049-17-0,Class B6 - Reactive flammable materials,"1,0%",
Ferrosilicium contenant 30% ou plus mais moins de 90% de silicium,"Ferrosilicon, with 30% or more but less than 90% silicon",8049-17-0,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Ferrovanadium,Ferrovanadium,12604-58-9,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Fibre de verre,Fibrous glass,,Classification not available,"1,0%",
Filaments de verre,Glass filaments,,Not controlled product,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique fibre de verre. La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0% dans un produit contrôlé."
Fluor,Fluorine,7782-41-4,Class A - Compressed gases,"1,0%",
Fluor,Fluorine,7782-41-4,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Fluor,Fluorine,7782-41-4,Class E - Corrosive materials,"1,0%",
Fluor,Fluorine,7782-41-4,Class F - Dangerously reactive materials,"1,0%",
Fluoranthène,Fluoranthene,206-44-0,Class D2B - Toxic material causing other toxic effects,"1,0%",
Fluorapatite,Fluorapatite,1306-05-4,Classification not available,"1,0%",
Fluorène,Fluorene,86-73-7,Not controlled product,Non requise,
"Fluoro-1 tétrachloro-1,1,2,2 éthane",1-Fluorotetrachloroethane,354-14-3,Not controlled product,Non requise,
1-Fluoro-2-bromobenzène,1-Fluoro-2-bromobenzene,1072-85-1,Classification not available,"1,0%",
1-Fluoro-3-bromobenzène,1-Fluoro-3-bromobenzene,1073-06-9,Classification not available,"1,0%",
Fluoro-4 aniline,4-Fluoroaniline,371-40-4,Classification not available,"1,0%",
